iter	Passed	Remaining
399	43558	90491
400	43669	90388
401	43780	90283
402	43896	90189
403	44001	90071
404	44091	89924
405	44196	89808
406	44302	89693
407	44408	89579
408	44524	89483
409	44637	89384
410	44749	89280
411	44857	89171
412	44967	89063
413	45076	88955
414	45175	88826
415	45288	88726
416	45395	88614
417	45504	88505
418	45619	88408
419	45735	88312
420	45847	88209
421	45956	88102
422	46062	87986
423	46170	87875
424	46278	87766
425	46388	87659
426	46503	87561
427	46603	87435
428	46712	87328
429	46824	87223
430	46935	87119
431	47050	87021
432	47161	86915
433	47272	86812
434	47382	86704
435	47488	86589
436	47594	86475
437	47704	86369
438	47809	86252
439	47917	86142
440	48026	86034
441	48138	85930
442	48252	85830
443	48357	85715
444	48469	85611
445	48574	85494
446	48685	85391
447	48795	85283
448	48899	85166
449	49002	85045
450	49112	84940
451	49221	84831
452	49333	84727
453	49440	84614
454	49550	84508
455	49658	84398
456	49768	84291
457	49881	84188
458	49987	84074
459	50091	83957
460	50199	83846
461	50308	83739
462	50416	83628
463	50530	83527
464	50640	83420
465	50749	83311
466	50855	83198
467	50964	83089
468	51074	82982
469	51182	82871
470	51287	82757
471	51398	82651
472	51504	82537
473	51612	82428
474	51740	82348
475	51851	82242
476	51964	82141
477	52073	82031
478	52179	81917
479	52285	81805
480	52396	81698
481	52503	81588
482	52618	81487
483	52723	81372
484	52828	81257
485	52940	81153
486	53047	81041
487	53152	80927
488	53262	80820
489	53369	80707
490	53475	80593
491	53583	80483
492	53692	80375
493	53796	80258
494	53903	80147
495	54015	80043
496	54124	79934
497	54237	79831
498	54344	79719
499	54456	79614
500	54565	79507
501	54681	79408
502	54795	79306
503	54903	79196
504	55013	79089
505	55119	78975
506	55227	78865
507	55333	78752
508	55442	78643
509	55551	78534
510	55660	78426
511	55771	78319
512	55882	78213
513	55986	78098
514	56093	77986
515	56200	77875
516	56306	77761
517	56413	77650
518	56522	77541
519	56632	77433
520	56740	77324
521	56851	77217
522	56963	77112
523	57074	77006
524	57183	76898
525	57294	76791
526	57406	76686
527	57515	76578
528	57623	76468
529	57729	76355
530	57841	76250
531	57948	76138
532	58057	76030
533	58166	75921
534	58272	75808
535	58378	75696
536	58482	75581
537	58588	75468
538	58696	75357
539	58809	75253
540	58916	75142
541	59025	75033
542	59133	74924
543	59245	74818
544	59349	74703
545	59454	74589
546	59561	74478
547	59674	74375
548	59784	74268
549	59893	74159
550	60008	74057
551	60110	73940
552	60224	73837
553	60337	73733
554	60448	73627
555	60551	73511
556	60659	73400
557	60764	73287
558	60893	73202
559	60995	73085
560	61105	72978
561	61218	72873
562	61330	72768
563	61447	72669
564	61563	72568
565	61672	72459
566	61784	72354
567	61892	72243
568	62001	72135
569	62111	72027
570	62222	71921
571	62339	71820
572	62457	71722
573	62563	71610
574	62677	71506
575	62803	71416
576	62924	71321
577	63036	71215
578	63152	71114
579	63259	71003
580	63371	70897
581	63483	70791
582	63601	70692
583	63724	70598
584	63837	70494
585	63950	70388
586	64066	70288
587	64174	70176
588	64290	70075
589	64399	69966
590	64508	69857
591	64624	69755
592	64744	69657
593	64855	69550
594	64967	69443
595	65080	69339
596	65185	69225
597	65295	69117
598	65409	69013
599	65527	68912
600	65639	68806
601	65746	68695
602	65861	68591
603	65967	68479
604	66074	68367
605	66179	68254
606	66286	68143
607	66396	68034
608	66507	67927
609	66622	67823
610	66734	67717
611	66843	67607
612	66950	67496
613	67051	67378
614	67166	67276
615	67269	67160
616	67380	67052
617	67489	66943
618	67597	66833
619	67705	66723
620	67813	66612
621	67932	66512
622	68037	66399
623	68152	66296
624	68262	66187
625	68376	66083
626	68485	65973
627	68603	65872
628	68712	65763
629	68820	65652
630	68960	65572
631	69080	65473
632	69194	65368
633	69307	65262
634	69422	65158
635	69535	65052
636	69643	64942
637	69788	64866
638	69901	64759
639	70012	64652
640	70118	64539
641	70234	64435
642	70344	64327
643	70451	64216
644	70556	64102
645	70668	63995
646	70784	63892
647	70896	63784
648	71002	63672
649	71111	63562
650	71227	63459
651	71334	63347
652	71445	63239
653	71553	63128
654	71665	63021
655	71779	62916
656	71884	62802
657	71982	62684
658	72101	62582
659	72214	62476
660	72328	62371
661	72447	62269
662	72566	62168
663	72681	62063
664	72806	61967
665	72927	61868
666	73033	61755
667	73152	61654
668	73267	61549
669	73376	61439
670	73485	61329
671	73599	61223
672	73712	61116
673	73825	61009
674	73938	60903
675	74050	60795
676	74161	60687
677	74268	60575
678	74375	60464
679	74492	60360
680	74610	60257
681	74720	60149
682	74827	60037
683	74933	59924
684	75043	59815
685	75148	59702
686	75256	59591
687	75362	59479
688	75467	59366
689	75578	59257
690	75682	59144
691	75793	59035
692	75898	58922
693	76006	58811
694	76115	58701
695	76229	58596
696	76332	58481
697	76440	58370
698	76552	58263
699	76658	58150
700	76765	58039
701	76872	57927
702	76980	57817
703	77095	57712
704	77205	57602
705	77307	57488
706	77415	57377
707	77520	57264
708	77630	57155
709	77745	57049
710	77855	56940
711	77965	56831
712	78070	56718
713	78175	56606
714	78279	56492
715	78405	56394
716	78534	56299
717	78640	56187
718	78752	56079
719	78857	55966
720	78968	55858
721	79078	55748
722	79192	55642
723	79308	55538
724	79425	55433
725	79531	55321
726	79638	55210
727	79749	55101
728	79853	54988
729	79965	54880
730	80076	54771
731	80185	54661
732	80293	54551
733	80407	54444
734	80519	54336
735	80626	54225
736	80740	54119
737	80851	54010
738	80963	53902
739	81072	53792
740	81183	53683
