iter	Passed	Remaining
399	45687	68531
400	45804	68421
401	45918	68306
402	46028	68186
403	46134	68059
404	46334	68072
405	46453	67963
406	46588	67879
407	46703	67765
408	46874	67732
409	47004	67640
410	47128	67539
411	47244	67426
412	47358	67310
413	47489	67219
414	47668	67195
415	47966	67338
416	48158	67328
417	48318	67275
418	48445	67175
419	48569	67071
420	48681	66951
421	48792	66829
422	48905	66710
423	49108	66713
424	49268	66657
425	49428	66600
426	49556	66501
427	49674	66387
428	49791	66273
429	49909	66159
430	50024	66042
431	50151	65940
432	50266	65822
433	50381	65705
434	50490	65579
435	50621	65483
436	50761	65397
437	50872	65275
438	50988	65157
439	51096	65031
440	51220	64926
441	51363	64843
442	51476	64723
443	51594	64609
444	51705	64486
445	51821	64369
446	51929	64243
447	52037	64117
448	52146	63992
449	52261	63875
450	52373	63754
451	52487	63634
452	52592	63506
453	52701	63381
454	52814	63260
455	52936	63151
456	53052	63036
457	53170	62922
458	53288	62807
459	53401	62688
460	53616	62688
461	53748	62590
462	53867	62476
463	53978	62353
464	54095	62238
465	54238	62152
466	54358	62040
467	54470	61919
468	54584	61800
469	54706	61690
470	54820	61570
471	54929	61446
472	55035	61319
473	55153	61203
474	55253	61069
475	55369	60953
476	55484	60835
477	55609	60728
478	55730	60617
479	55849	60503
480	55965	60386
481	56079	60267
482	56201	60157
483	56322	60046
484	56460	59953
485	56591	59852
486	56715	59743
487	56840	59635
488	56953	59515
489	57057	59386
490	57174	59270
491	57297	59160
492	57416	59047
493	57528	58926
494	57661	58826
495	57793	58725
496	57918	58617
497	58072	58538
498	58186	58420
499	58302	58302
500	58418	58184
501	58527	58061
502	58638	57938
503	58750	57817
504	58863	57697
505	58976	57577
506	59086	57455
507	59196	57332
508	59313	57216
509	59421	57091
510	59546	56982
511	59726	56926
512	59836	56803
513	59960	56694
514	60083	56583
515	60202	56469
516	60318	56351
517	60431	56231
518	60557	56123
519	60679	56012
520	60798	55896
521	60913	55779
522	61035	55666
523	61156	55554
524	61258	55424
525	61372	55305
526	61533	55228
527	61649	55110
528	61757	54986
529	61876	54871
530	61988	54750
531	62111	54639
532	62232	54526
533	62357	54417
534	62479	54304
535	62598	54189
536	62742	54096
537	62887	54004
538	63031	53909
539	63136	53782
540	63250	53663
541	63365	53544
542	63478	53424
543	63598	53310
544	63708	53187
545	63873	53110
546	64067	53057
547	64180	52936
548	64305	52826
549	64418	52706
550	64535	52588
551	64647	52467
552	64776	52359
553	64897	52245
554	65012	52127
555	65125	52007
556	65232	51881
557	65352	51766
558	65467	51647
559	65581	51528
560	65693	51407
561	65815	51293
562	65933	51177
563	66045	51056
564	66166	50942
565	66293	50833
566	66421	50723
567	66566	50628
568	66679	50507
569	66798	50391
570	66921	50278
571	67033	50157
572	67166	50052
573	67286	49937
574	67402	49819
575	67531	49710
576	67646	49591
577	67757	49470
578	67918	49384
579	68030	49263
580	68153	49150
581	68268	49031
582	68378	48909
583	68495	48790
584	68615	48675
585	68730	48557
586	68845	48438
587	68961	48320
588	69075	48200
589	69196	48085
590	69308	47964
591	69425	47847
592	69554	47738
593	69679	47625
594	69788	47503
595	69898	47381
596	70018	47265
597	70134	47147
598	70239	47021
599	70356	46904
600	70469	46783
601	70586	46666
602	70685	46537
603	70799	46418
604	70914	46299
605	71036	46185
606	71148	46064
607	71263	45946
608	71387	45833
609	71503	45715
610	71618	45596
611	71734	45479
612	71849	45359
613	71961	45239
614	72080	45123
615	72196	45005
616	72314	44889
617	72439	44776
618	72554	44657
619	72678	44545
620	72798	44429
621	72911	44309
622	73017	44185
623	73122	44061
624	73241	43945
625	73357	43826
626	73477	43711
627	73593	43593
628	73706	43474
629	73816	43352
630	73935	43236
631	74057	43122
632	74176	43005
633	74287	42885
634	74406	42768
635	74526	42653
636	74640	42534
637	74756	42416
638	74863	42293
639	74984	42178
640	75093	42057
641	75203	41935
642	75313	41814
643	75414	41688
644	75528	41569
645	75651	41456
646	75772	41341
647	75885	41221
648	76001	41103
649	76106	40980
650	76221	40861
651	76345	40748
652	76458	40629
653	76584	40516
654	76701	40399
655	76823	40285
656	76939	40167
657	77058	40051
658	77167	39930
659	77277	39809
660	77380	39685
661	77497	39568
662	77607	39447
663	77721	39328
664	77834	39209
665	77948	39091
666	78073	38978
667	78187	38859
668	78305	38743
669	78436	38633
670	78558	38518
671	78677	38402
672	78793	38284
673	78910	38167
674	79029	38051
675	79136	37929
676	79241	37806
677	79360	37690
678	79467	37568
679	79588	37453
680	79699	37333
681	79813	37215
682	79924	37095
683	80048	36981
684	80156	36860
685	80270	36741
686	80384	36623
687	80501	36506
688	80606	36384
689	80715	36263
690	80828	36144
691	80949	36029
692	81069	35913
693	81209	35807
694	81339	35695
695	81457	35579
696	81590	35469
697	81713	35354
698	81826	35235
699	81947	35120
700	82078	35009
701	82203	34895
702	82316	34776
703	82519	34695
704	82641	34580
705	82757	34462
706	82881	34348
707	82999	34231
708	83127	34118
709	83249	34003
710	83368	33886
711	83488	33770
712	83611	33655
713	83729	33538
714	83845	33420
715	83959	33302
716	84069	33182
717	84219	33077
718	84355	32967
719	84475	32851
720	84581	32729
721	84711	32617
722	84839	32504
723	84974	32393
724	85107	32281
725	85271	32182
726	85392	32066
727	85525	31954
728	85655	31841
729	85769	31723
730	85888	31605
731	86001	31487
732	86121	31370
733	86239	31253
734	86344	31131
735	86465	31014
736	86584	30897
737	86698	30779
738	86809	30659
739	86926	30541
740	87051	30426
741	87166	30308
742	87279	30189
743	87400	30073
744	87513	29954
745	87627	29835
746	87795	29735
747	87919	29620
748	88044	29505
749	88172	29390
750	88304	29278
751	88430	29163
752	88563	29050
753	88694	28937
754	88810	28819
755	88943	28706
756	89095	28600
757	89214	28482
758	89327	28363
759	89441	28244
760	89564	28128
761	89685	28012
762	89804	27894
763	89923	27777
764	90038	27658
765	90159	27542
766	90279	27425
767	90405	27309
768	90521	27191
769	90639	27074
770	90750	26954
771	90857	26833
772	90972	26715
773	91080	26594
774	91181	26472
775	91289	26351
776	91403	26232
777	91518	26114
778	91629	25995
779	91746	25877
780	91861	25758
781	91977	25640
782	92085	25520
783	92187	25398
784	92286	25275
785	92402	25157
786	92516	25039
787	92629	24920
788	92748	24803
789	92872	24687
790	92986	24569
791	93098	24449
792	93210	24331
793	93332	24214
794	93454	24098
795	93569	23980
796	93684	23862
797	93805	23745
798	93918	23626
799	94031	23507
800	94146	23389
801	94253	23269
802	94370	23151
803	94488	23034
804	94610	22917
805	94735	22802
806	94847	22683
807	94957	22564
808	95068	22445
809	95186	22327
810	95304	22210
811	95425	22093
812	95637	21997
813	95763	21882
814	95890	21766
815	96006	21648
816	96149	21536
817	96275	21420
818	96390	21302
819	96512	21185
820	96628	21067
821	96744	20949
822	96846	20828
823	96963	20710
824	97110	20599
825	97258	20487
826	97414	20378
827	97541	20262
828	97671	20146
829	97799	20031
830	97931	19916
831	98048	19798
832	98158	19678
833	98290	19563
834	98410	19446
835	98530	19328
836	98659	19213
837	98778	19095
838	98889	18976
839	99012	18859
840	99139	18743
841	99275	18628
842	99408	18513
843	99539	18398
844	99667	18282
845	99785	18164
846	99911	18047
847	100035	17930
848	100150	17812
849	100271	17695
850	100407	17580
851	100523	17461
852	100636	17342
853	100793	17231
854	100923	17115
855	101046	16998
856	101162	16880
857	101268	16760
858	101377	16640
859	101493	16522
860	101611	16404
861	101731	16286
862	101849	16168
863	101968	16050
864	102079	15931
865	102189	15812
866	102311	15694
867	102421	15575
868	102535	15456
869	102646	15337
870	102761	15219
871	102872	15100
872	102986	14982
873	103100	14863
874	103218	14745
875	103326	14626
876	103434	14506
877	103545	14387
878	103659	14269
879	103767	14150
880	103874	14030
881	103984	13911
882	104092	13792
883	104216	13675
884	104331	13557
885	104550	13452
886	104683	13336
887	104826	13221
888	104985	13108
889	105109	12991
890	105221	12872
891	105337	12753
892	105450	12635
893	105558	12515
894	105677	12397
895	105805	12280
896	105920	12162
897	106036	12044
898	106149	11925
899	106267	11807
900	106384	11689
901	106514	11572
902	106634	11454
903	106746	11335
904	106856	11216
905	106963	11097
906	107084	10980
907	107199	10861
908	107319	10743
909	107433	10625
910	107552	10507
911	107669	10389
912	107788	10271
913	107905	10153
914	108011	10033
915	108119	9914
916	108226	9795
917	108334	9676
918	108449	9558
919	108571	9441
920	108694	9323
921	108816	9205
922	108928	9087
923	109053	8969
924	109161	8850
925	109279	8732
926	109393	8614
927	109505	8496
928	109618	8377
929	109727	8259
930	109840	8140
931	109951	8022
932	110059	7903
933	110170	7785
934	110280	7666
935	110393	7548
936	110513	7430
937	110623	7312
938	110726	7193
939	110843	7075
940	110972	6957
941	111086	6839
942	111197	6721
943	111311	6603
944	111424	6485
945	111542	6367
946	111654	6248
947	111764	6130
948	111869	6011
949	111977	5893
950	112091	5775
951	112209	5657
952	112320	5539
953	112423	5420
954	112592	5305
955	112745	5189
956	112879	5071
957	113000	4954
958	113117	4836
959	113212	4717
960	113329	4599
961	113451	4481
962	113581	4363
963	113703	4246
964	113826	4128
965	113947	4010
966	114058	3892
967	114177	3774
968	114307	3656
969	114463	3540
970	114714	3426
971	114888	3309
972	115016	3191
973	115139	3073
974	115253	2955
975	115368	2836
976	115484	2718
977	115600	2600
978	115708	2481
979	115826	2363
980	115953	2245
981	116077	2127
982	116191	2009
983	116301	1891
984	116418	1772
985	116536	1654
986	116652	1536
987	116779	1418
988	116895	1300
989	117007	1181
990	117139	1063
991	117251	945
992	117368	827
993	117488	709
994	117601	590
995	117724	472
996	117833	354
997	117944	236
998	118052	118
999	118158	0
